USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225696  9500 ?        Ss   11月04   0:08 /sbin/init splash
root       984  0.0  0.0 294916  7200 ?        Ssl  11月04   0:01 /usr/lib/accountsservice/accounts-daemon
root       992  0.0  0.0 110532  3676 ?        Ssl  11月04   0:10 /usr/sbin/irqbalance --foreground
root       998  0.0  0.0   4552   788 ?        Ss   11月04   0:00 /usr/sbin/acpid
root      1001  0.0  0.0 434324  9376 ?        Ssl  11月04   0:00 /usr/sbin/ModemManager --filter-policy=strict
avahi     1003  0.0  0.0  47288  3764 ?        Ss   11月04   0:01 avahi-daemon: running [PowerEdge-R740.local]
root      1005  0.0  0.0  38428  3192 ?        Ss   11月04   0:00 /usr/sbin/cron -f
root      1006  0.0  0.0  45228  5268 ?        Ss   11月04   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1017  0.0  0.0 177632 17100 ?        Ssl  11月04   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      1019  0.0  0.0 494708 17340 ?        Ssl  11月04   0:02 /usr/sbin/NetworkManager --no-daemon
avahi     1059  0.0  0.0  47076   340 ?        S    11月04   0:00 avahi-daemon: chroot helper
root      1070  0.0  0.0 292904  9020 ?        Ssl  11月04   0:01 /usr/lib/policykit-1/polkitd --no-debug
privoxy   1169  0.0  0.0  26948  3368 ?        Ss   11月04   0:00 /usr/sbin/privoxy --pidfile /var/run/privoxy.pid --user privoxy /etc/privoxy/config
root      1171  0.0  0.0  72296  6496 ?        Ss   11月04   0:00 /usr/sbin/sshd -D
root      1174  0.0  0.0 308056  8040 ?        Ssl  11月04   0:00 /usr/sbin/gdm3
root      1190  0.0  0.0 194340 19888 ?        Ssl  11月04   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1191  0.0  0.0 261688  8680 ?        Sl   11月04   0:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       1215  0.0  0.0  76888  7944 ?        Ss   11月04   0:00 /lib/systemd/systemd --user
gdm       1216  0.0  0.0 114080  2628 ?        S    11月04   0:00 (sd-pam)
gdm       1227  0.0  0.0 197800  5540 tty1     Ssl+ 11月04   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       1229  0.0  0.0  50244  4652 ?        Ss   11月04   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm       1231  0.0  0.0 559068 14096 tty1     Sl+  11月04   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1237  0.1  0.2 5642496 282276 tty1   Sl+  11月04   1:25 /usr/bin/gnome-shell
root      1246  0.2  0.0      0     0 ?        S    11月04   3:30 [irq/73-nvidia]
root      1247  0.0  0.0      0     0 ?        S    11月04   0:00 [nvidia]
nvidia-+  1251  0.1  0.0  17308  1984 ?        Ss   11月04   2:40 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root      1253  0.2  0.0      0     0 ?        S    11月04   3:41 [irq/74-nvidia]
root      1254  0.0  0.0      0     0 ?        S    11月04   0:00 [nvidia]
